window_start,site,Chem,conc
1990-10-09,b3,k_mgl,0.9236363636363636
1990-10-09,b3,mg_mgl,2.9854545454545454
1990-10-09,b3,no3,151
1990-10-09,b3,Ca,5.09909090909091
1990-10-09,b3,NH4,NA
1990-12-11,b3,k_mgl,0.9418181818181819
1990-12-11,b3,mg_mgl,3.590909090909091
1990-12-11,b3,no3,166.88888888888889
1990-12-11,b3,Ca,4.745454545454545
1990-12-11,b3,NH4,NA
1991-02-12,b3,k_mgl,0.79
1991-02-12,b3,mg_mgl,3.772
1991-02-12,b3,no3,146.3
1991-02-12,b3,Ca,4.788
1991-02-12,b3,NH4,NA
1991-04-16,b3,k_mgl,0.893
1991-04-16,b3,mg_mgl,3.27
1991-04-16,b3,no3,67.75
1991-04-16,b3,Ca,4.284
1991-04-16,b3,NH4,NA
1991-06-18,b3,k_mgl,0.8588888888888889
1991-06-18,b3,mg_mgl,3.612
1991-06-18,b3,no3,106.88888888888889
1991-06-18,b3,Ca,4.589
1991-06-18,b3,NH4,NA
1991-08-20,b3,k_mgl,1.027
1991-08-20,b3,mg_mgl,3.2463636363636366
1991-08-20,b3,no3,119.45454545454545
1991-08-20,b3,Ca,4.597272727272728
1991-08-20,b3,NH4,NA
1991-10-22,b3,k_mgl,0.8776923076923077
1991-10-22,b3,mg_mgl,2.813846153846154
1991-10-22,b3,no3,167
1991-10-22,b3,Ca,3.8207692307692307
1991-10-22,b3,NH4,NA
1991-12-24,b3,k_mgl,1.017
1991-12-24,b3,mg_mgl,3.188
1991-12-24,b3,no3,194.9
1991-12-24,b3,Ca,5.037
1991-12-24,b3,NH4,NA
1992-02-25,b3,k_mgl,1.104
1992-02-25,b3,mg_mgl,3.352
1992-02-25,b3,no3,116.33333333333334
1992-02-25,b3,Ca,6.17
1992-02-25,b3,NH4,NA
1992-04-28,b3,k_mgl,0.938
1992-04-28,b3,mg_mgl,2.807
1992-04-28,b3,no3,105.77777777777777
1992-04-28,b3,Ca,4.163
1992-04-28,b3,NH4,NA
1992-06-30,b3,k_mgl,1.103
1992-06-30,b3,mg_mgl,2.9979999999999998
1992-06-30,b3,no3,41.4
1992-06-30,b3,Ca,4.46
1992-06-30,b3,NH4,NA
1992-09-01,b3,k_mgl,0.895
1992-09-01,b3,mg_mgl,3.221
1992-09-01,b3,no3,62.300000000000004
1992-09-01,b3,Ca,4.831
1992-09-01,b3,NH4,NA
1992-11-03,b3,k_mgl,1.067
1992-11-03,b3,mg_mgl,3.218
1992-11-03,b3,no3,40.28571428571429
1992-11-03,b3,Ca,4.487
1992-11-03,b3,NH4,NA
1993-01-05,b3,k_mgl,0.797
1993-01-05,b3,mg_mgl,3.068
1993-01-05,b3,no3,110
1993-01-05,b3,Ca,4.1049999999999995
1993-01-05,b3,NH4,NA
1993-03-09,b3,k_mgl,0.825
1993-03-09,b3,mg_mgl,3.489
1993-03-09,b3,no3,129.125
1993-03-09,b3,Ca,4.344
1993-03-09,b3,NH4,NA
1993-05-11,b3,k_mgl,0.8355555555555555
1993-05-11,b3,mg_mgl,3.0533333333333332
1993-05-11,b3,no3,59
1993-05-11,b3,Ca,4.318888888888889
1993-05-11,b3,NH4,NA
1993-07-13,b3,k_mgl,0.86
1993-07-13,b3,mg_mgl,3.063
1993-07-13,b3,no3,102.83333333333334
1993-07-13,b3,Ca,4.764
1993-07-13,b3,NH4,NA
1993-09-14,b3,k_mgl,0.801
1993-09-14,b3,mg_mgl,3.0011111111111113
1993-09-14,b3,no3,43.66666666666667
1993-09-14,b3,Ca,4.447
1993-09-14,b3,NH4,NA
1993-11-16,b3,k_mgl,0.892
1993-11-16,b3,mg_mgl,2.644
1993-11-16,b3,no3,32.333333333333336
1993-11-16,b3,Ca,4.232
1993-11-16,b3,NH4,NA
1994-01-18,b3,k_mgl,0.834
1994-01-18,b3,mg_mgl,3.043
1994-01-18,b3,no3,11
1994-01-18,b3,Ca,4.492
1994-01-18,b3,NH4,NA
1994-03-22,b3,k_mgl,0.857
1994-03-22,b3,mg_mgl,3.385
1994-03-22,b3,no3,46.222222222222214
1994-03-22,b3,Ca,5.078
1994-03-22,b3,NH4,NA
1994-05-24,b3,k_mgl,0.8936363636363637
1994-05-24,b3,mg_mgl,3.6463636363636365
1994-05-24,b3,no3,52.111111111111114
1994-05-24,b3,Ca,5.262727272727273
1994-05-24,b3,NH4,NA
1994-07-26,b3,k_mgl,0.842
1994-07-26,b3,mg_mgl,3.5229999999999997
1994-07-26,b3,no3,NA
1994-07-26,b3,Ca,5.016
1994-07-26,b3,NH4,NA
1994-09-27,b3,k_mgl,0.845
1994-09-27,b3,mg_mgl,3.126
1994-09-27,b3,no3,NA
1994-09-27,b3,Ca,4.503
1994-09-27,b3,NH4,NA
1994-11-29,b3,k_mgl,NA
1994-11-29,b3,mg_mgl,NA
1994-11-29,b3,no3,NA
1994-11-29,b3,Ca,NA
1994-11-29,b3,NH4,NA
1988-01-05,rmp,k_mgl,NA
1988-01-05,rmp,mg_mgl,NA
1988-01-05,rmp,no3,NA
1988-01-05,rmp,Ca,NA
1988-01-05,rmp,NH4,NA
1988-03-08,rmp,k_mgl,NA
1988-03-08,rmp,mg_mgl,NA
1988-03-08,rmp,no3,NA
1988-03-08,rmp,Ca,NA
1988-03-08,rmp,NH4,NA
1988-05-10,rmp,k_mgl,NA
1988-05-10,rmp,mg_mgl,NA
1988-05-10,rmp,no3,NA
1988-05-10,rmp,Ca,NA
1988-05-10,rmp,NH4,NA
1988-07-12,rmp,k_mgl,NA
1988-07-12,rmp,mg_mgl,NA
1988-07-12,rmp,no3,NA
1988-07-12,rmp,Ca,NA
1988-07-12,rmp,NH4,NA
1988-09-13,rmp,k_mgl,NA
1988-09-13,rmp,mg_mgl,NA
1988-09-13,rmp,no3,NA
1988-09-13,rmp,Ca,NA
1988-09-13,rmp,NH4,NA
1988-11-15,rmp,k_mgl,NA
1988-11-15,rmp,mg_mgl,NA
1988-11-15,rmp,no3,NA
1988-11-15,rmp,Ca,NA
1988-11-15,rmp,NH4,NA
1989-01-17,rmp,k_mgl,NA
1989-01-17,rmp,mg_mgl,NA
1989-01-17,rmp,no3,NA
1989-01-17,rmp,Ca,NA
1989-01-17,rmp,NH4,NA
1989-03-21,rmp,k_mgl,0.745
1989-03-21,rmp,mg_mgl,2.165
1989-03-21,rmp,no3,69
1989-03-21,rmp,Ca,6.66
1989-03-21,rmp,NH4,NA
1989-05-23,rmp,k_mgl,0.675
1989-05-23,rmp,mg_mgl,1.965
1989-05-23,rmp,no3,58.285714285714285
1989-05-23,rmp,Ca,6.525
1989-05-23,rmp,NH4,NA
1989-07-25,rmp,k_mgl,0.6614285714285714
1989-07-25,rmp,mg_mgl,1.5783333333333334
1989-07-25,rmp,no3,73.71428571428571
1989-07-25,rmp,Ca,6.252857142857143
1989-07-25,rmp,NH4,NA
1989-09-26,rmp,k_mgl,1.16
1989-09-26,rmp,mg_mgl,2.236666666666667
1989-09-26,rmp,no3,250.14285714285714
1989-09-26,rmp,Ca,7.4350000000000005
1989-09-26,rmp,NH4,NA
1989-11-28,rmp,k_mgl,0.908
1989-11-28,rmp,mg_mgl,2.4733333333333336
1989-11-28,rmp,no3,117
1989-11-28,rmp,Ca,9.166666666666666
1989-11-28,rmp,NH4,NA
1990-01-30,rmp,k_mgl,1.07
1990-01-30,rmp,mg_mgl,2.059
1990-01-30,rmp,no3,231.8
1990-01-30,rmp,Ca,8.306666666666667
1990-01-30,rmp,NH4,NA
1990-04-03,rmp,k_mgl,0.996
1990-04-03,rmp,mg_mgl,2.19
1990-04-03,rmp,no3,138.3
1990-04-03,rmp,Ca,9.428
1990-04-03,rmp,NH4,NA
